name
ID
Name
SBML:layout:modelEntity
SBML:layout:compartment:id
SBML:layout:reaction:id
SBML:layout:species:id
SBML:layout:curveSegment
SBML:layout:X
SBML:layout:Y
SBML:layout:width
SBML:layout:height
SBML:layout:text
SBML:layout:speciesRole
