name
Comment
ReferenceName
ReferencePubMed
ReferenceDOI
Description
Modifier
Name
MiriamAnnotation
Type
Symbol
PositionX
PositionY
ID
SBML:reaction:id
Reaction
ReactionFormula
Location
Enzyme
Regulator
Model
Pathway
SubreactionOf
IsComplete
IsReversible
IsInEquilibrium
IsExchangeReaction
Flux
IsNonEnzymatic
KineticLaw
KineticLaw:Name
KineticLaw:Formula
Gene
Gene:Symbol
Operon
Enzyme:SBML:species:id
Enzyme:SBML:parameter:id
BuildReaction
BuildEnzyme
BuildEnzymeProduction
SBOTerm
Identifiers
SBML:fbc:GeneAssociation
SBML:fbc:LowerBound
SBML:fbc:UpperBound
